title,description,category,priority
Large pothole on main road,Causing accidents and dangerous for vehicles,Roads,High
Open manhole near school,Children could fall into the open manhole,Roads,High
Road completely blocked,The road is blocked and emergency vehicles cannot pass,Roads,High
Severe road damage,Large damaged section causing accidents,Roads,High
Major pothole near hospital,Very dangerous for ambulances and vehicles,Roads,High
Broken bridge,Bridge is damaged and unsafe for public use,Roads,High
Large pothole near market,The pothole is causing vehicles to lose control,Roads,High
Road collapsed after heavy rain,Part of the road has collapsed and traffic is unsafe,Roads,High
Deep pothole near intersection,The pothole is deep and may cause serious accidents,Roads,High
Damaged road blocking traffic,Severe road damage is preventing safe vehicle movement,Roads,High
Small pothole,Minor pothole that does not cause major problems,Roads,Low
Faded road markings,Road markings are difficult to see,Roads,Low
Minor road crack,Small crack on the road with limited impact,Roads,Low
Uneven footpath,Small uneven section on the footpath,Roads,Low
Minor pavement damage,Small damaged area that needs routine repair,Roads,Low
Small crack near roadside,Minor crack with no immediate danger,Roads,Low
Loose pavement block,A small pavement block is loose but area remains usable,Roads,Low
Minor road surface damage,Surface needs routine maintenance,Roads,Low
Garbage overflowing,Garbage has accumulated and is creating an unhealthy environment,Garbage,Medium
Garbage not collected for many days,Waste has accumulated and causing a bad smell,Garbage,Medium
Large garbage pile near school,Large amount of waste creating health concerns,Garbage,High
Small amount of garbage,Small amount of waste that needs routine collection,Garbage,Low
Garbage bin damaged,One garbage bin is damaged but other bins are available,Garbage,Low
Garbage dumped near hospital,Waste is attracting insects and creating a health risk,Garbage,High
Garbage blocking drainage,Waste is blocking the drain and may cause flooding,Garbage,High
Large waste pile on road,Heavy garbage accumulation is blocking part of the road,Garbage,High
Garbage collection missed,Household waste has not been collected for several days,Garbage,Medium
Bad smell from garbage area,Garbage has remained in the area and is causing an unpleasant smell,Garbage,Medium
Minor litter in park,A small amount of litter needs routine cleaning,Garbage,Low
Water pipe leakage,Water is continuously leaking near the main road,Water,Medium
Major water pipeline burst,Large amount of water is flooding the road,Water,High
Water flooding street,Flooding is blocking traffic and damaging property,Water,High
Small water leakage,Minor leakage that can be repaired during routine maintenance,Water,Low
Water tap leaking,Small leak from a public water tap,Water,Low
Pipeline burst near hospital,Water is flooding the hospital access road,Water,High
Large water leak near school,Continuous leakage is creating a dangerous slippery area,Water,High
